date,new_orders,moving_avg_12
2004-07-01,167989.0,162439.83333333334
2004-08-01,178706.0,163913.5
2004-09-01,177107.0,165133.25
2004-10-01,183178.0,166634.66666666666
2004-11-01,179180.0,168748.91666666666
2004-12-01,174875.0,170358.58333333334
2005-01-01,170844.0,172050.41666666666
2005-02-01,172444.0,173674.0
2005-03-01,194132.0,175709.25
2005-04-01,188815.0,177735.33333333334
2005-05-01,194723.0,179796.25
2005-06-01,198487.0,181706.66666666666
2005-07-01,190272.0,183563.58333333334
2005-08-01,207537.0,185966.16666666666
2005-09-01,204134.0,188218.41666666666
2005-10-01,203787.0,189935.83333333334
2005-11-01,198386.0,191536.33333333334
2005-12-01,193672.0,193102.75
2006-01-01,192371.0,194896.66666666666
2006-02-01,185664.0,195998.33333333334
2006-03-01,208225.0,197172.75
2006-04-01,200677.0,198161.25
2006-05-01,217293.0,200042.08333333334
2006-06-01,215777.0,201482.91666666666
2006-07-01,207780.0,202941.91666666666
2006-08-01,221091.0,204071.41666666666
2006-09-01,203072.0,203982.91666666666
2006-10-01,204523.0,204044.25
2006-11-01,198829.0,204081.16666666666
2006-12-01,198056.0,204446.5
2007-01-01,192703.0,204474.16666666666
2007-02-01,192047.0,205006.08333333334
2007-03-01,215540.0,205615.66666666666
2007-04-01,211822.0,206544.41666666666
2007-05-01,228013.0,207437.75
2007-06-01,226374.0,208320.83333333334
2007-07-01,220505.0,209381.25
2007-08-01,229619.0,210091.91666666666
2007-09-01,222298.0,211694.08333333334
2007-10-01,235789.0,214299.58333333334
2007-11-01,232753.0,217126.58333333334
2007-12-01,224966.0,219369.08333333334
2008-01-01,223822.0,221962.33333333334
2008-02-01,222786.0,224523.91666666666
2008-03-01,239897.0,226553.66666666666
2008-04-01,249039.0,229655.08333333334
2008-05-01,262303.0,232512.58333333334
2008-06-01,267054.0,235902.58333333334
2008-07-01,266338.0,239722.0
2008-08-01,261141.0,242348.83333333334
2008-09-01,241395.0,243940.25
2008-10-01,234243.0,243811.41666666666
2008-11-01,198422.0,240950.5
2008-12-01,185887.0,237693.91666666666
2009-01-01,179402.0,233992.25
2009-02-01,178522.0,230303.58333333334
2009-03-01,191169.0,226242.91666666666
2009-04-01,188476.0,221196.0
2009-05-01,195791.0,215653.33333333334
2009-06-01,207328.0,210676.16666666666
2009-07-01,198679.0,205037.91666666666
2009-08-01,205919.0,200436.08333333334
2009-09-01,204870.0,197392.33333333334
2009-10-01,209686.0,195345.91666666666
