base_code,date,year,month_num,new_orders,shipments,unfilled_orders,total_inventories,inventories_to_shipments,unfilled_orders_to_shipments,new_orders_mom_growth,shipments_mom_growth,unfilled_orders_mom_growth,inventories_mom_growth,orders_to_shipments_ratio,inventory_to_shipments_ratio_calc,demand_pressure,backlog_pressure,inventory_pressure,orders_shipments_pressure,demand_pressure_flag,backlog_pressure_flag,inventory_pressure_flag,orders_shipments_flag,risk_score,risk_level
A31A,1992-02-01,1992,2,4449.0,4621.0,7906.0,8236.0,,,,-0.017017655817911,-0.0212923991086902,-0.0026640833131509,0.9627786193464618,1.78229820385198,,-0.0212923991086902,-0.0026640833131509,-0.037221380653538194,0,0,0,0,0,Low
A31A,1992-03-01,1992,3,4880.0,4755.0,8031.0,9803.0,,,0.0968757024050348,0.0289980523696169,0.0158107766253479,0.1902622632345798,1.0262881177707677,2.061619348054679,0.0678776500354179,0.0158107766253479,0.1902622632345798,0.02628811777076767,1,0,1,0,2,High
A31A,1992-04-01,1992,4,4815.0,4796.0,8050.0,9799.0,,,-0.0133196721311474,0.0086225026288118,0.0023658323994522,-0.0004080383556054,1.0039616346955798,2.043160967472894,-0.0219421747599592,0.0023658323994522,-0.0004080383556054,0.003961634695579752,0,0,0,0,0,Low
A31A,1992-05-01,1992,5,4960.0,4855.0,8155.0,9741.0,,,0.0301142263759086,0.012301918265221,0.0130434782608694,-0.0059189713236044,1.0216271884654995,2.0063851699279094,0.0178123081106876,0.0130434782608694,-0.0059189713236044,0.02162718846549949,0,0,0,0,0,Low
A31A,1992-06-01,1992,6,4976.0,4799.0,8332.0,9767.0,,,0.0032258064516128,-0.0115345005149331,0.021704475781729,0.0026691304794168,1.0368826838924776,2.035215669931236,0.0147603069665459,0.021704475781729,0.0026691304794168,0.03688268389247762,0,0,0,0,0,Low
A31A,1992-07-01,1992,7,4928.0,4698.0,8562.0,9704.0,,,-0.0096463022508038,-0.0210460512606792,0.0276044167066731,-0.0064502917989147,1.0489570029799915,2.0655598126862493,0.0113997490098754,0.0276044167066731,-0.0064502917989147,0.048957002979991504,0,0,0,0,0,Low
A31A,1992-08-01,1992,8,4748.0,4645.0,8665.0,9738.0,,,-0.036525974025974,-0.0112813963388676,0.0120298995561785,0.0035037098103873,1.0221743810548978,2.096447793326157,-0.025244577687106404,0.0120298995561785,0.0035037098103873,0.022174381054897774,0,0,0,0,0,Low
A31A,1992-09-01,1992,9,4503.0,4567.0,8601.0,9734.0,,,-0.0516006739679865,-0.0167922497308934,-0.0073860357761107,-0.0004107619634421,0.9859864243485876,2.1313772717319903,-0.0348084242370931,-0.0073860357761107,-0.0004107619634421,-0.014013575651412369,0,0,0,0,0,Low
A31A,1992-10-01,1992,10,4327.0,4524.0,8404.0,9654.0,,,-0.0390850544081723,-0.0094153711407926,-0.0229043134519242,-0.0082186151633449,0.9564544650751547,2.1339522546419096,-0.029669683267379704,-0.0229043134519242,-0.0082186151633449,-0.04354553492484525,0,0,0,0,0,Low
A31A,1992-11-01,1992,11,4411.0,4562.0,8253.0,9587.0,,,0.0194129882135429,0.0083996463306807,-0.017967634459781,-0.0069401284441682,0.9669004822446297,2.1014905743095134,0.011013341882862201,-0.017967634459781,-0.0069401284441682,-0.033099517755370345,0,0,0,0,0,Low
A31A,1992-12-01,1992,12,5138.0,4225.0,9166.0,9648.0,,,0.164815234640671,-0.0738711091626479,0.1106264388707136,0.0063627829352248,1.2160946745562131,2.2835502958579883,0.23868634380331888,0.1106264388707136,0.0063627829352248,0.21609467455621312,1,1,0,1,3,High
A31A,1993-01-01,1993,1,5252.0,4569.0,9849.0,9389.0,,,0.0221876216426624,0.0814201183431952,0.0745145101461923,-0.0268449419568822,1.1494856642591376,2.0549354344495514,-0.059232496700532794,0.0745145101461923,-0.0268449419568822,0.14948566425913756,0,1,0,1,2,High
A31A,1993-02-01,1993,2,5182.0,4470.0,10561.0,9245.0,,,-0.0133282559025132,-0.0216677609980302,0.0722916032084475,-0.0153370966024071,1.1592841163310963,2.068232662192394,0.008339505095517001,0.0722916032084475,-0.0153370966024071,0.1592841163310963,0,1,0,1,2,High
A31A,1993-03-01,1993,3,6114.0,5055.0,11620.0,10388.0,,,0.1798533384793517,0.1308724832214765,0.1002745952087871,0.1236343969713358,1.2094955489614243,2.0549950544015827,0.04898085525787521,0.1002745952087871,0.1236343969713358,0.2094955489614243,1,1,1,1,4,High
A31A,1993-04-01,1993,4,4977.0,5036.0,11561.0,10239.0,,,-0.1859666339548576,-0.0037586547972304,-0.0050774526678141,-0.0143434732383519,0.988284352660842,2.033161239078634,-0.1822079791576272,-0.0050774526678141,-0.0143434732383519,-0.011715647339157975,0,0,0,0,0,Low
A31A,1993-05-01,1993,5,5242.0,5037.0,11766.0,10119.0,,,0.0532449266626482,0.000198570293884,0.0177320301012022,-0.0117198945209493,1.0406988286678578,2.0089338892197737,0.053046356368764196,0.0177320301012022,-0.0117198945209493,0.04069882866785779,1,0,0,0,1,Medium
A31A,1993-06-01,1993,6,5234.0,5067.0,11933.0,9976.0,,,-0.001526135062953,0.0059559261465158,0.0141934387217406,-0.0141318312086174,1.032958358002763,1.9688178409315176,-0.0074820612094688,0.0141934387217406,-0.0141318312086174,0.03295835800276303,0,0,0,0,0,Low
A31A,1993-07-01,1993,7,5148.0,5045.0,12036.0,9960.0,,,-0.0164310278945357,-0.0043418196171304,0.0086315260202798,-0.0016038492381715,1.020416253716551,1.9742319127849357,-0.0120892082774053,0.0086315260202798,-0.0016038492381715,0.02041625371655109,0,0,0,0,0,Low
A31A,1993-08-01,1993,8,5004.0,5049.0,11991.0,9856.0,,,-0.027972027972028,0.000792864222002,-0.0037387836490528,-0.010441767068273,0.9910873440285204,1.9520697167755992,-0.02876489219403,-0.0037387836490528,-0.010441767068273,-0.00891265597147961,0,0,0,0,0,Low
A31A,1993-09-01,1993,9,5174.0,5019.0,12146.0,9764.0,,,0.0339728217426058,-0.005941770647653,0.012926361437745,-0.0093344155844156,1.0308826459454077,1.9454074516836024,0.039914592390258796,0.012926361437745,-0.0093344155844156,0.030882645945407683,1,0,0,0,1,Medium
A31A,1993-10-01,1993,10,5350.0,5111.0,12385.0,9696.0,,,0.03401623502126,0.0183303446901772,0.0196772600032932,-0.0069643588693159,1.0467618861279593,1.897084719233027,0.0156858903310828,0.0196772600032932,-0.0069643588693159,0.046761886127959285,0,0,0,0,0,Low
A31A,1993-11-01,1993,11,5120.0,5081.0,12424.0,9652.0,,,-0.0429906542056074,-0.005869692819409,0.0031489705288656,-0.0045379537953795,1.0076756543987404,1.8996260578626252,-0.0371209613861984,0.0031489705288656,-0.0045379537953795,0.007675654398740406,0,0,0,0,0,Low
A31A,1993-12-01,1993,12,4967.0,5110.0,12281.0,9653.0,,,-0.0298828125,0.0057075378862427,-0.0115099806825499,0.0001036054703689,0.9720156555772994,1.889041095890411,-0.035590350386242704,-0.0115099806825499,0.0001036054703689,-0.02798434442270059,0,0,0,0,0,Low
A31A,1994-01-01,1994,1,5017.0,5133.0,12165.0,9653.0,,,0.0100664384940607,0.0045009784735812,-0.0094454848953667,0.0,0.9774011299435028,1.8805766608221317,0.0055654600204795,-0.0094454848953667,0.0,-0.02259887005649719,0,0,0,0,0,Low
A31A,1994-02-01,1994,2,5394.0,5310.0,12249.0,9661.0,,,0.0751445086705202,0.0344827586206897,0.0069050554870531,0.0008287578990986,1.015819209039548,1.81939736346516,0.04066175004983049,0.0069050554870531,0.0008287578990986,0.01581920903954792,1,0,0,0,1,Medium
A31A,1994-03-01,1994,3,5232.0,5149.0,12332.0,9684.0,,,-0.0300333704115683,-0.0303201506591337,0.0067760633521103,0.0023807059310629,1.0161196348805592,1.880753544377549,0.0002867802475653991,0.0067760633521103,0.0023807059310629,0.01611963488055923,0,0,0,0,0,Low
A31A,1994-04-01,1994,4,5555.0,5364.0,12523.0,9701.0,,,0.0617354740061162,0.0417556807147019,0.0154881608822574,0.0017554729450639,1.0356077554064131,1.808538404175988,0.019979793291414305,0.0154881608822574,0.0017554729450639,0.035607755406413144,0,0,0,0,0,Low
A31A,1994-05-01,1994,5,5561.0,5477.0,12607.0,9825.0,,,0.0010801080108011,0.0210663683818046,0.0067076579094467,0.0127821874033604,1.015336863246303,1.7938652547014788,-0.0199862603710035,0.0067076579094467,0.0127821874033604,0.015336863246302901,0,0,0,0,0,Low
A31A,1994-06-01,1994,6,5664.0,5470.0,12801.0,9901.0,,,0.0185218485883833,-0.0012780719371918,0.0153882763544062,0.0077353689567429,1.0354661791590494,1.8100548446069469,0.0197999205255751,0.0153882763544062,0.0077353689567429,0.03546617915904937,0,0,0,0,0,Low
A31A,1994-07-01,1994,7,5729.0,5672.0,12858.0,9961.0,,,0.0114759887005648,0.0369287020109689,0.004452777126787,0.0060599939400061,1.010049365303244,1.7561706629055007,-0.0254527133104041,0.004452777126787,0.0060599939400061,0.010049365303244073,0,0,0,0,0,Low
A31A,1994-08-01,1994,8,5631.0,5726.0,12763.0,10014.0,,,-0.0171059521731541,0.0095204513399154,-0.0073883963291335,0.0053207509286217,0.983409011526371,1.7488648271044358,-0.0266264035130695,-0.0073883963291335,0.0053207509286217,-0.016590988473629054,0,0,0,0,0,Low
A31A,1994-09-01,1994,9,6191.0,5750.0,13204.0,10111.0,,,0.0994494761143669,0.0041914076143905,0.0345530047794406,0.0096864389854203,1.076695652173913,1.7584347826086957,0.0952580684999764,0.0345530047794406,0.0096864389854203,0.07669565217391305,1,1,0,1,3,High
A31A,1994-10-01,1994,10,5857.0,5829.0,13232.0,10280.0,,,-0.0539492812146664,0.0137391304347826,0.0021205695243864,0.0167144693897736,1.0048035683650711,1.763595814033282,-0.067688411649449,0.0021205695243864,0.0167144693897736,0.00480356836507112,0,0,0,0,0,Low
A31A,1994-11-01,1994,11,5847.0,5924.0,13155.0,10409.0,,,-0.0017073587160661,0.0162978212386344,-0.0058192261185006,0.0125486381322956,0.9870020256583388,1.7570898041863603,-0.018005179954700502,-0.0058192261185006,0.0125486381322956,-0.012997974341661167,0,0,0,0,0,Low
A31A,1994-12-01,1994,12,6138.0,6500.0,12793.0,10458.0,,,0.0497691123653154,0.0972316002700877,-0.0275180539718737,0.0047074646940148,0.9443076923076924,1.608923076923077,-0.0474624879047723,-0.0275180539718737,0.0047074646940148,-0.0556923076923076,0,0,0,0,0,Low
A31A,1995-01-01,1995,1,6321.0,6041.0,13073.0,10596.0,,,0.0298142717497555,-0.0706153846153846,0.0218869694364105,0.0131956397016637,1.0463499420625724,1.7540142360536335,0.10042965636514009,0.0218869694364105,0.0131956397016637,0.04634994206257237,1,0,0,0,1,Medium
A31A,1995-02-01,1995,2,6066.0,6099.0,13040.0,10794.0,,,-0.0403417180825819,0.009601059427247,-0.002524286697774,0.0186862967157417,0.9945892769306444,1.7697983275946876,-0.049942777509828895,-0.002524286697774,0.0186862967157417,-0.0054107230693556385,0,0,0,0,0,Low
A31A,1995-03-01,1995,3,6367.0,6179.0,13228.0,10884.0,,,0.0496208374546653,0.013116904410559,0.0144171779141104,0.008337965536409,1.0304256352160543,1.7614500728273184,0.0365039330441063,0.0144171779141104,0.008337965536409,0.030425635216054348,1,0,0,0,1,Medium
A31A,1995-04-01,1995,4,5908.0,6076.0,13060.0,11063.0,,,-0.0720904664677242,-0.0166693639747531,-0.0127003326277592,0.0164461595001836,0.9723502304147466,1.820770243581304,-0.055421102492971094,-0.0127003326277592,0.0164461595001836,-0.027649769585253448,0,0,0,0,0,Low
A31A,1995-05-01,1995,5,5842.0,5961.0,12941.0,11127.0,,,-0.0111712931618145,-0.0189269256089532,-0.0091117917304747,0.00578504926331,0.980036906559302,1.8666331152491196,0.007755632447138701,-0.0091117917304747,0.00578504926331,-0.01996309344069802,0,0,0,0,0,Low
A31A,1995-06-01,1995,6,5756.0,5925.0,12772.0,11269.0,,,-0.014720985963711,-0.0060392551585304,-0.0130592689900317,0.012761750696504,0.9714767932489452,1.901940928270042,-0.008681730805180601,-0.0130592689900317,0.012761750696504,-0.028523206751054797,0,0,0,0,0,Low
A31A,1995-07-01,1995,7,5693.0,5865.0,12600.0,11292.0,,,-0.0109451007644197,-0.010126582278481,-0.0134669589727528,0.0020409974265684,0.9706734867860188,1.9253196930946288,-0.0008185184859386997,-0.0134669589727528,0.0020409974265684,-0.029326513213981165,0,0,0,0,0,Low
A31A,1995-08-01,1995,8,6201.0,5842.0,12959.0,11336.0,,,0.0892323906551906,-0.0039215686274509,0.0284920634920635,0.003896563939072,1.061451557685724,1.940431359123588,0.0931539592826415,0.0284920634920635,0.003896563939072,0.06145155768572397,1,0,0,1,2,High
A31A,1995-09-01,1995,9,5930.0,6122.0,12767.0,11283.0,,,-0.0437026286082889,0.047928791509757,-0.0148159580214523,-0.0046753705010585,0.9686377000980072,1.8430251551780463,-0.0916314201180459,-0.0148159580214523,-0.0046753705010585,-0.031362299901992796,0,0,0,0,0,Low
A31A,1995-10-01,1995,10,6248.0,6047.0,12968.0,11240.0,,,0.0536256323777402,-0.0122508983992158,0.0157437142633352,-0.0038110431622795,1.0332396229535308,1.8587729452621131,0.065876530776956,0.0157437142633352,-0.0038110431622795,0.03323962295353078,1,0,0,0,1,Medium
A31A,1995-11-01,1995,11,6223.0,5938.0,13253.0,11214.0,,,-0.0040012804097311,-0.0180254671738051,0.0219771745835903,-0.0023131672597864,1.047995958235096,1.888514651397777,0.014024186764074,0.0219771745835903,-0.0023131672597864,0.04799595823509595,0,0,0,0,0,Low
A31A,1995-12-01,1995,12,6100.0,6011.0,13342.0,11251.0,,,-0.0197653864695483,0.0122937015830246,0.0067154606504187,0.0032994471196718,1.0148061886541342,1.871735152220928,-0.0320590880525729,0.0067154606504187,0.0032994471196718,0.01480618865413419,0,0,0,0,0,Low
